year,state_abbreviation,net_generation_mwh,co2e_kg_per_mwh,source_file,source_field,technology,use_phase_kgco2e_per_vcore_year,embodied_kgco2e_per_vcore_year,total_kgco2e_per_vcore_year,embodied_share_pct,regret_vs_lowest_pct
2012,AZ,110614113.36099999,482.790167687186,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Air-cooled,45.8400461018222,3.5104211643502636,49.350467266172465,7.1132480781119165,26.078716393783562
2012,AZ,110614113.36099999,482.790167687186,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Cold plate,38.92417827689511,2.9474308328855217,41.871609109780636,7.03921080548357,6.972011053723026
2012,AZ,110614113.36099999,482.790167687186,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,One-phase,38.15776169582511,3.049789121460012,41.20755081728512,7.40104437408285,5.275499920871574
2012,AZ,110614113.36099999,482.790167687186,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,36.32325392198737,2.819329915902762,39.142583837890136,7.202717959496691,0.0
2012,CA,199189655.76309997,261.2998055293646,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Air-cooled,24.99368974116661,3.5104211643502636,28.50411090551687,12.315490828625823,25.989963669217197
2012,CA,199189655.76309997,261.2998055293646,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Cold plate,21.22290263673843,2.9474308328855217,24.17033346962395,12.19441525947378,6.834394723092196
2012,CA,199189655.76309997,261.2998055293646,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,One-phase,20.80502395055212,3.049789121460012,23.85481307201213,12.784795723418195,5.4397747132354235
2012,CA,199189655.76309997,261.2998055293646,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,19.804782414467887,2.819329915902762,22.62411233037065,12.461615619358856,0.0
2012,CO,52547910.61299999,760.6469914145814,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Air-cooled,71.99153327368337,3.5104211643502636,75.50195443803364,4.649444097809885,26.12079370473104
2012,CO,52547910.61299999,760.6469914145814,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Cold plate,61.1302019493494,2.9474308328855217,64.07763278223491,4.599781085706207,7.0372544044335905
2012,CO,52547910.61299999,760.6469914145814,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,One-phase,59.92654904125579,3.049789121460012,62.9763381627158,4.842753977819552,5.197617900315077
2012,CO,52547910.61299999,760.6469914145814,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Two-phase,57.04546495273388,2.819329915902762,59.86479486863664,4.709495659492885,0.0
2012,CT,35557337.401,239.68896895265962,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Air-cooled,22.959708686005044,3.5104211643502636,26.470129850355306,13.261820717147495,25.973832264027784
2012,CT,35557337.401,239.68896895265962,eGRID2012_Data.xlsx,ST12!STC2ERTA converted from lb/MWh,Cold plate,19.4957874190295,2.9474308328855217,22.443218251915024,13.13283504977734,6.809382028541888
