year,state_abbreviation,net_generation_mwh,co2e_kg_per_mwh,source_file,source_field
2016,HI,9948844.667,695.3035793103401,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,IA,54396530.724,455.34777247190004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,ID,15660938.441,85.85278864701,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,IL,187437381.035,370.14997120717004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,IN,101397209.392,827.76298397485,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,KS,47599990.322,546.15061465272,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,KY,80273501.005,892.7078859190801,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,LA,106842115.053,400.12925171758,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,MA,31951671.137,375.35403646818,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,MD,37166746.524,462.41655596598,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,ME,11514427.426,157.67777965940002,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,MI,112121789.925,501.6799651055501,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,MN,60036475.896,462.79258404071004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,MO,78611512.544,770.63302497335,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,MS,62881294.963,427.75075908873004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,MT,27783529.992,571.56176640486,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,NC,130768152.699,395.83101041946003,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,ND,37856451.758,759.6869339005101,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,NE,37197843.2,585.4557542903301,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,NH,19282493.05,143.69443407704,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,NJ,77598196.669,253.93189494287998,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,NM,32922552.001,717.8561919467401,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,NV,39228694.003,349.96420355743004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,NY,134090832.639,211.31779896612,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,OH,118922077.758,669.20024560158,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,OK,78655008.003,475.50587098707,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,OR,60181811.826,139.32633955394,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,PA,215066508.488,390.11030344902,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,RI,6564885.1,395.3919330053,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,SC,96985763.86,287.03415892074,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,SD,10289415.719,234.30858183194002,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,TN,79340633.31,452.86979735459005,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,TX,453941342.056,478.35942058674004,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,UT,38133928.003,743.15848153008,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,VA,92554816.451,371.4830791826,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,VT,1911207.085,30.311310125250003,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,WA,114086582.682,85.24361409410001,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
2016,WI,64966610.542,633.4372087813,egrid2016_data.xlsx,ST16!STC2ERTA converted from lb/MWh
