year,states_included,net_generation_mwh,generation_weighted_co2e_kg_per_mwh,minimum_state_kgco2e_per_mwh,median_state_kgco2e_per_mwh,maximum_state_kgco2e_per_mwh,technology,total_kgco2e_per_vcore_year,use_phase_kgco2e_per_vcore_year,embodied_kgco2e_per_vcore_year,embodied_share_pct,reduction_vs_air_pct,lowest_ghg_technology
2020,51,4003333575.409,371.51283229492725,13.7483847347,345.51854473906,902.69644349885,One-phase,32.48949013400016,29.439701012540148,3.049789121460012,9.387002100929914,16.430485673326334,Two-phase
2020,51,4003333575.409,371.51283229492725,13.7483847347,345.51854473906,902.69644349885,Two-phase,30.84366068745541,28.02433077155265,2.819329915902762,9.140711099345696,20.66389059734962,Two-phase
2021,51,4101565672.356,387.2847442714063,20.336360316580002,375.90923352906003,888.75754996875,Air-cooled,40.36163329839009,36.85121213403983,3.5104211643502636,8.697420984919072,0.0,Two-phase
2021,51,4101565672.356,387.2847442714063,20.336360316580002,375.90923352906003,888.75754996875,Cold plate,34.238916614528904,31.29148578164338,2.9474308328855217,8.608423175500862,15.169645486337146,Two-phase
2021,51,4101565672.356,387.2847442714063,20.336360316580002,375.90923352906003,888.75754996875,One-phase,33.725145941336635,30.675356819876622,3.049789121460012,9.043071679407946,16.442563926961217,Two-phase
2021,51,4101565672.356,387.2847442714063,20.336360316580002,375.90923352906003,888.75754996875,Two-phase,32.019909965593015,29.200580049690252,2.819329915902762,8.804927680722,20.66745731305626,Two-phase
2022,51,4222378512.689,373.88314048581645,19.32711729333,358.9593938469,895.5392094926201,Air-cooled,39.100293501944904,35.58987233759464,3.5104211643502636,8.977991851073062,0.0,Two-phase
2022,51,4222378512.689,373.88314048581645,19.32711729333,358.9593938469,895.5392094926201,Cold plate,33.1678746047648,30.220443771879275,2.9474308328855217,8.886402484354853,15.172312956896395,Two-phase
2022,51,4222378512.689,373.88314048581645,19.32711729333,358.9593938469,895.5392094926201,One-phase,32.675192735283844,29.62540361382383,3.049789121460012,9.333653044276431,16.432359430604958,Two-phase
2022,51,4222378512.689,373.88314048581645,19.32711729333,358.9593938469,895.5392094926201,Two-phase,31.020435279061992,28.20110536315923,2.819329915902762,9.088621389544905,20.66444391902329,Two-phase
2023,51,4173469784.235,348.1938262938331,23.6956104,325.433052,893.0789784,Air-cooled,36.682451962070836,33.17203079772057,3.5104211643502636,9.56975604569725,0.0,Two-phase
2023,51,4173469784.235,348.1938262938331,23.6956104,325.433052,893.0789784,Cold plate,31.11481176677608,28.167380933890556,2.9474308328855217,9.472758038770278,15.177939034859566,Two-phase
2023,51,4173469784.235,348.1938262938331,23.6956104,325.433052,893.0789784,One-phase,30.66255467877207,27.61276555731206,3.049789121460012,9.946298191426967,16.410836684317765,Two-phase
2023,51,4173469784.235,348.1938262938331,23.6956104,325.433052,893.0789784,Two-phase,29.10455866757483,26.285228751672065,2.819329915902762,9.686901451090396,20.658088238843597,Two-phase
