year,state_abbreviation,state,net_generation_mwh,co2e_kg_per_mwh,reported_co2e_kg_per_mwh,co2_kg_per_mwh,gwp_basis,source_field,lowest_ghg_technology,cold_plate_vs_air_reduction_pct,one_phase_vs_air_reduction_pct,two_phase_vs_air_reduction_pct,cold_plate_minus_one_phase_kgco2e
2023,ND,ND,42068807.125,588.6959149643503,588.6957645892401,584.3921148495326,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.168931789571104,16.44529419741293,20.66826356359528,0.5196458300097504
2023,NE,NE,39445955.006,465.30509326119716,465.30503217814,461.8270178349173,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.188343356105271,16.371034611199022,20.646334662238853,0.3893194567484457
2023,NH,NH,16824998.889,125.29213065101831,125.29219162614,123.76447055584076,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.378729612640774,15.642705725107298,20.431258695452225,0.030195044841846652
2023,NJ,NJ,64195046.033,213.2645617812463,213.26461741816001,212.42169675979451,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.283323883292566,16.00768348057875,20.539036850503667,0.12311223056060783
2023,NM,NM,39258858.763,350.9159352142669,350.91584034969,349.36313089162246,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.216860177939296,16.26194257136806,20.614119715964684,0.2685007126725232
2023,NV,NV,42162355.474,292.0497350515941,292.04952975583,291.37397291695663,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.238845152392289,16.177838328522533,20.589283681466686,0.20632576101095168
2023,NY,NY,123473720.157,211.65363436218823,211.65345731992,210.98200217311117,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.284506750895533,16.003158381659677,20.537700586017372,0.12141075612989027
2023,OH,OH,133121090.814,484.5589188675632,484.55912109990004,482.5511114256422,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.184730624027932,16.384855236582062,20.650415901391415,0.40965550142379215
2023,OK,OK,88878115.88,294.3061512874112,294.30615179657997,293.5679871938715,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.237866170157055,16.181583457261617,20.590389620280437,0.2087090058951553
2023,OR,OR,61683300.013,165.54455210628316,165.54443213231002,165.1811393282656,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.325663659043432,15.845711275908425,20.491206359118152,0.07270997448442884
2023,PA,PA,235912550.485,293.8693450623773,293.86934234427,292.91749904415985,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.238054699247982,16.18086223302364,20.59017664232059,0.2082476476649333
2023,RI,RI,10416553.048,381.01956302652,381.01940516948,380.62560972169643,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.207907308919077,16.296192066260527,20.624233612813512,0.3002964052582975
2023,SC,SC,100853387.4,254.1761566398344,254.17638123031003,252.7295234581406,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.25740469550174,16.10683818594255,20.568317295814577,0.16632338442651573
2023,SD,SD,17405995.526,152.21764504303394,152.21743470934,151.51440402143524,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.340958508560899,15.787200326038853,20.473928039733714,0.05863398860176616
2023,TN,TN,77754006.807,299.89990487277237,299.89985290342,298.1312404476648,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.235492796126326,16.190662877675354,20.59307077869752,0.21461717319346363
2023,TX,TX,544038647.008,349.80073139662716,349.80091030423,348.5027136359315,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.2172173708642,16.26057611808588,20.613716201472343,0.26732282547642683
2023,UT,UT,32789440.038,644.6610352492104,644.66089838458,640.9347816104034,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.162381939885517,16.470350862806615,20.675662812254647,0.5787566378898177
2023,VA,VA,91024103.437,244.7579415008848,244.75798925963002,243.51164747744673,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.262746251411519,16.08640388812841,20.5622830351366,0.15637579023181303
2023,VT,VT,2480198.747,23.695374653003146,23.69521181643,19.49567363258492,"AR5 GWP100 (CH4=28; N2O=265), reconstructed","eGRID2023 ST23!STCO2AN, STCH4AN, STN2OAN and STNGENAN",Two-phase,15.751735479097084,14.215759514989657,20.009880604380648,-0.07711226182468334
